Time;[0.0];[0.1];[1:0];[1:1];[1:2];[1:3];[1:4];[1:5];[1:6];[1:7];[1:8];[1:9];[1:10];[1:11];[1:15];[2:0];[2:1];[2:2];[2:3];[2:4];[2:5];[2:6];[2:7];[2:8];[2:13];[2:14];[2:15]
time;0.0;0.1;F3.6;F3.5;F3.4;F3.3;F3.2;F3.1;Mo;Mm;Mu;P1;P2;P3;Drehzahl;F Antrieb;F Abtrieb;FS Antrieb;FS Abtrieb;Mo;Mu;P1;P2;P3;Geschwindigkeit;Strom;Walzspalt
sec;;;kN;kN;kN;kN;kN;kN;kNm;kNm;kNm;°C;°C;°C;u/min;kN;kN;kN;kN;kNm;kNm;°C;°C;°C;m/s;A;mm

LicenseId;V77468_1
LicenseContainer;130-1791363898 (DAQ-001391)
LicenseCustomer;TU Bergakademie Freiberg

0;0;1;-1.17853;1.02661;0.400696;0.0612183;0.072998;-0.0134277;-0.0453854;-0.0429382;-0.00929642;669.99;600.009;669.99;99.6384;0.274658;-1.7395;241.237;-281.827;-0.0163269;0.133408;670.01;669.99;670.01;-0.00161743;-0.0308838;46.6422
0.01;0;1;-1.31091;1;0.196106;-0.0263062;0.085083;-0.0187988;-0.118;-0.0261574;0.00831604;669.99;599.954;669.99;99.5834;0.213623;-1.86157;240.826;-282.284;-0.0124092;0.130642;670.029;669.99;670.01;-0.00167847;-0.15448;46.6697
0.02;0;1;-1.31091;1.15997;-0.0596313;0.0437622;0.157654;-0.0510101;-0.183928;0.0123367;-0.0151634;670.01;600.009;670.01;99.5773;0.152588;-1.86157;241.253;-281.811;-0.0163269;0.134789;670.01;670.01;669.99;-0.0017395;0.0432739;46.6422
0.03;0;1;-1.41687;1.1333;-0.230164;0.131287;0.157654;-0.0563812;-0.182972;-0.0597191;0.0474472;670.01;599.973;669.99;99.6384;0.152588;-1.86157;240.78;-282.3;-0.0163269;0.132027;670.029;670.01;670.01;-0.00161743;-0.327515;46.6697
0.04;0;1;-1.41687;1.1333;-0.31543;0.11377;0.181854;-0.0671234;-0.102713;-0.0508347;-0.0141869;670.01;599.991;669.99;99.6262;0.274658;-1.86157;241.268;-281.842;-0.0150223;0.134789;670.029;670.01;669.99;-0.00167847;-0.228638;46.6514
