Time;[0.0];[0.1];[1:0];[1:1];[1:2];[1:3];[1:4];[1:5];[1:6];[1:7];[1:8];[1:9];[1:10];[1:11];[1:15];[2:0];[2:1];[2:2];[2:3];[2:4];[2:5];[2:6];[2:7];[2:8];[2:13];[2:14];[2:15]
time;0.0;0.1;F3.6;F3.5;F3.4;F3.3;F3.2;F3.1;Mo;Mm;Mu;P1;P2;P3;Drehzahl;F Antrieb;F Abtrieb;FS Antrieb;FS Abtrieb;Mo;Mu;P1;P2;P3;Geschwindigkeit;Strom;Walzspalt
sec;;;kN;kN;kN;kN;kN;kN;kNm;kNm;kNm;°C;°C;°C;u/min;kN;kN;kN;kN;kNm;kNm;°C;°C;°C;m/s;A;mm

LicenseId;V77468_1
LicenseContainer;130-1791363898 (DAQ-001391)
LicenseCustomer;TU Bergakademie Freiberg

0;0;1;-0.599976;3.19958;-0.417725;1.09412;-0.417145;-0.142319;-0.0434742;0.0715599;0.105167;669.99;599.991;669.99;98.9975;-0.0305176;-0.0305176;-0.00762939;0.00762939;0.00069809;-0.000671387;670.01;670.01;599.995;-0.00149536;-0.253357;46.6697
0.01;0;1;-0.866577;3.17279;-0.451843;1.11163;-0.42923;-0.0778656;0.0253181;0.0458984;0.0132065;669.971;599.991;670.01;98.9547;0.0305176;0.0305176;-0.00762939;0.00762939;0.00069809;0.000667572;670.01;670.029;600.005;-0.0015564;0.15451;46.6514
0.02;0;1;123.704;-120.876;77.9134;-80.5717;55.5653;24.5072;-4.30291;-4.42358;-4.52716;670.01;599.973;669.99;98.9364;-0.0305176;-0.0305176;-0.00762939;-0.00762939;0.00069809;-0.00201035;670.029;669.971;600.005;-0.00149536;-0.0432434;46.6697
0.03;0;1;92.1884;-89.0939;58.0493;-59.7745;40.9349;18.1918;-3.27484;-3.31509;-3.36394;669.99;599.973;669.99;99.0707;0.0305176;-0.0915527;0.00762939;0.0228882;0.00209427;-0.00201035;670.029;669.99;600.005;-0.00149536;-0.0679626;46.6606
